90123458,Jennifer Medina,jennifer.medina@mail.com,S
12345674,Julio Cárdenas,julio.cardenas@mail.com,P
56789016,Karen Tello,karen.tello@mail.com,S
89012347,Leonardo Vílchez,leonardo.vilchez@mail.com,P
23456788,Mónica Paz,monica.paz@mail.com,S
67890129,Nicolás Rojas,nicolas.rojas@mail.com,P
90123455,Olivia Paredes,olivia.paredes@mail.com,S
12345675,Pablo Flores,pablo.flores@mail.com,P
56789017,Quetzal Rojas,quetzal.rojas@mail.com,S
89012349,Renzo Cueva,renzo.cueva@mail.com,P
23456782,Sara Ramos,sara.ramos@mail.com,S
67890127,Thiago Castro,thiago.castro@mail.com,P
90123454,Úrsula Ramos,ursula.ramos@mail.com,P
12345676,Valentina Dávila,valentina.davila@mail.com,P
56789018,Walter Mendoza,walter.mendoza@mail.com,P
89012341,Ximena Hurtado,ximena.hurtado@mail.com,P
23456784,Yadhira Salas,yadhira.salas@mail.com,P
67890125,Zoila Galarza,zoila.galarza@mail.com,P
90123450,Abraham Quispe,abraham.quispe@mail.com,P
12345677,Brenda Córdova,brenda.cordova@mail.com,S
56789019,Camilo Pérez,camilo.perez@mail.com,S
89012343,Daniela Lazo,daniela.lazo@mail.com,P
23456786,Eduardo Vega,eduardo.vega@mail.com,S
67890120,Estefanía Vargas,estefania.vargas@mail.com,P
90123452,Fernando Ruiz,fernando.ruiz@mail.com,S
12345678,Gladys Flores,gladys.flores@mail.com,P
56789011,Héctor Jiménez,hector.jimenez@mail.com,S
89012348,Irene Quispe,irene.quispe@mail.com,P
23456789,Joaquín Morales,joaquin.morales@mail.com,S
67890122,Karla Huamán,karla.huaman@mail.com,P
90123456,Luis Pérez,luis.perez@mail.com,S
12345670,María Luján,maria.lujan@mail.com,P
56789012,Néstor Salas,nestor.salas@mail.com,S
89012345,Ofelia Díaz,ofelia.diaz@mail.com,P
23456780,Pedro Peña,pedro.pena@mail.com,S
67890123,Quiteria Robles,quiteria.robles@mail.com,P
12345679,Samantha Morales,samantha.morales@mail.com,P
56789010,Tania Rivera,tania.rivera@mail.com,S
89012340,Uriel Valdés,uriel.valdes@mail.com,P
23456781,Violeta Quispe,violeta.quispe@mail.com,S
67890121,Wilmer Cárdenas,wilmer.cardenas@mail.com,P
90123451,Xenia Hurtado,xenia.hurtado@mail.com,S
12345672,Yadira Ochoa,yadira.ochoa@mail.com,P
